,constructorId,wins,constructorRef,name,nationality,url
5,6,1990,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
0,1,1661,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
8,9,1286,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
109,131,1248,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2,3,934,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
31,32,374,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
3,4,352,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
21,22,220,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
33,34,179,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
24,25,166,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing
117,172,126,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
63,66,98,brm,BRM,British,http://en.wikipedia.org/wiki/BRM
22,23,95,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
26,27,84,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier
125,180,69,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
115,170,63,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
141,196,61,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra
136,191,48,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
16,17,32,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
56,59,31,wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing
104,118,26,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
153,208,22,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
84,87,21,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
36,37,19,march,March,British,http://en.wikipedia.org/wiki/March_Engineering
132,187,17,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
1,2,12,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
158,214,12,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
112,167,12,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
157,213,10,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
10,11,10,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
